country,percent_sand,percent_water,prefix,ocean,ocean_short,tonnes_plastic_per_day,kg_per_person_per_day,g_per_person_per_year,kg_per_person_per_year,bottles_per_person_per_year,km_per_year,walking_time_hours,mismanaged_plastic_waste_2019_kg_minute,anim_interval_seconds,social_type_1,social_post_id_1,social_post_url_1
Brazil,6.9160568,93.0839432,In ,Atlantic,ATL,1952.88,0.0172901423,6310.901938,6.3,631.0901938,126,25,896.9,6.69,instagram,ByIocgXBWHJ,https://www.instagram.com/p/ByIocgXBWHJ/
Morocco,19.6414208,80.3585792,In,Atlantic,ATL,1392.75,0.04910355158,17922.79633,17.9,1792.279633,358,72,590,10.17,,,
Senegal,34.362824,65.637176,In,Atlantic,ATL,1360.32,0.08590705996,31356.07688,31.4,3135.607688,628,126,484.7,12.38,,,
Cuba,8.7634536,91.2365464,In,Atlantic,ATL,371.35,0.02190863435,7996.651537,8,799.6651537,160,32,172.4,34.80,,,
Venezuela,6.9677952,93.0322048,In,Atlantic,ATL,351.47,0.01741948822,6358.1132,6.4,635.81132,128,26,194.7,30.82,,,
United Kingdom,1.71124,98.28876,In the,Atlantic,ATL,221.53,0.004278100017,1561.506506,1.6,156.1506506,32,6,128.5,46.69,twitter,1116358725709828098,https://twitter.com/Hollycoopy/status/1116358725709828098
Germany,3.87396,96.12604,In,Atlantic,ATL,88.43,0.009684900016,3534.988506,3.5,353.4988506,70,14,59.4,100.95,,,
Poland,5.2580152,94.7419848,In,Atlantic,ATL,58.3,0.01314503757,4797.938713,4.8,479.7938713,96,19,29.9,200.82,,,
Cape Verde,19.6144988,80.3855012,In,Atlantic,ATL,38.11,0.04903624707,17898.23018,17.9,1789.823018,358,72,17.8,337.38,,,
Norway,2.2288,97.7712,In,Atlantic,ATL,24.93,0.005572,2033.78,2,203.378,40,8,16.0,375.30,,,
Belgium,0.63308,99.36692,In,Atlantic,ATL,11.62,0.001582700001,577.6855004,0.6,57.76855004,12,2,5.2,1149.76,,,
Sweden,0.38,99.62,In,Atlantic,ATL,10.13,9.5E-04,346.7135001,0.3,34.67135001,6,1,4.1,1466.52,,,
Iceland,2.24016,97.75984,In,Atlantic,ATL,2.03,0.005600400061,2044.146022,2,204.4146022,40,8,1.1,5270.60,,,
Nigeria,33.9607256,66.0392744,In,Atlantic,ATL,4565.07,0.0849018143,30989.16222,31,3098.916222,620,124,1620,3.70,,,
United States,2.67288,97.32712,In the,Atlantic/Pacific,ATL/PAC,838.69,0.006682200003,2439.003001,2.4,243.9003001,48,10,524,11.45,twitter,1113956275061182464,https://twitter.com/seraphicpetal/status/1113956275061182464
Mexico,4.9038256,95.0961744,In,Atlantic/Pacific,ATL/PAC,458.54,0.01225956382,4474.740795,4.5,447.4740795,90,18,192.8,31.12,,,
Nicaragua,26.563068,73.436932,In,Atlantic/Pacific,ATL/PAC,347.75,0.0664076702,24238.79962,24.2,2423.879962,484,97,160.6,37.36,,,
Colombia,13.4708252,86.5291748,In,Atlantic/Pacific,ATL/PAC,372.8,0.0336770631,12292.12803,12.3,1229.212803,246,49,175.4,34.21,,,
Guatemala,41.9417932,58.0582068,In,Atlantic/Pacific,ATL/PAC,341.45,0.1048544831,38271.88632,38.3,3827.188632,766,153,174.2,34.44,,,
Costa Rica,18.6045724,81.3954276,In,Atlantic/Pacific,ATL/PAC,161.62,0.04651143146,16976.67248,17,1697.667248,340,68,80.1,74.92,,,
Canada,0.73628,99.26372,In,Atlantic/Pacific,ATL/PAC,31,0.001840700001,671.8555004,0.7,67.18555004,14,3,15.1,396.21,,,
Russia,8.1852704,91.8147296,In,Pacific,PAC,287.27,0.02046317642,7469.059391,7.5,746.9059391,150,30,153.7,39.05,,,
China,36.7657776,63.2342224,In,Pacific,PAC,36485.61,0.09191444417,33548.77212,33.5,3354.877212,670,134,16780.3,0.36,,,
Philippines,24.7377,75.2623,In the,Pacific,PAC,9550.76,0.06184424984,22573.15119,22.6,2257.315119,452,90,3583.8,1.67,instagram,BxrcpNAHyoT,https://www.instagram.com/p/BxrcpNAHyoT/
Thailand,43.2465688,56.7534312,In,Pacific,PAC,4393.49,0.1081164224,39462.49418,39.5,3946.249418,790,158,1955.4,3.07,,,
Malaysia,44.8509532,55.1490468,In,Pacific,PAC,3702.46,0.1121273835,40926.49498,40.9,4092.649498,818,164,1782.4,3.37,,,
Ecuador,18.7297732,81.2702268,In,Pacific,PAC,438.91,0.04682443339,17090.91819,17.1,1709.091819,342,68,208.1,28.83,,,
Japan,1.36116,98.63884,In,Pacific,PAC,438.85,0.003402900003,1242.058501,1.2,124.2058501,24,5,272.3,22.03,instagram,B4eNntXhfgE,https://www.instagram.com/p/B4eNntXhfgE/
Fiji,60.2361728,39.7638272,In,Pacific,PAC,164.73,0.1505904318,54965.5076,55,5496.55076,"1,100",220,93.7,64.02,,,
Taiwan,2.2556896,97.7443104,In,Pacific,PAC,151.16,0.00563922418,2058.316826,2.1,205.8316826,42,8,87,68.98,,,
South Korea,0.3692,99.6308,In,Pacific,PAC,118.51,9.23E-04,337.007801,0.3,33.7007801,6,1,64.2,93.45,,,
North Korea,19.2474568,80.7525432,In,Pacific,PAC,1253.33,0.04811864196,17563.30431,17.6,1756.330431,352,70,579,10.36,,,
Chile,4.2408076,95.7591924,In,Pacific,PAC,88.1,0.01060201941,3869.737084,3.9,386.9737084,78,16,41.4,144.97,,,
New Zealand,2.63488,97.36512,In,Pacific,PAC,28.5,6.59E-03,2404.328034,2.4,240.4328034,48,10,17.7,339.62,,,
Australia,0.88308,99.11692,In,Pacific/Indian,PAC/IND,52.8,0.0022077,805.8105001,0.8,80.58105001,16,3,26.4,227.06,,,
